"component","origin","license","copyright"
"github.com/aws/aws-sdk-go-v2/service/sts","github.com/aws/aws-sdk-go-v2/service/sts","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/config","github.com/aws/aws-sdk-go-v2/config","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/credentials","github.com/aws/aws-sdk-go-v2/credentials","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/feature/ec2/imds","github.com/aws/aws-sdk-go-v2/feature/ec2/imds","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/sso","github.com/aws/aws-sdk-go-v2/service/sso","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/ec2","github.com/aws/aws-sdk-go-v2/service/ec2","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/secretsmanager","github.com/aws/aws-sdk-go-v2/service/secretsmanager","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/ssm","github.com/aws/aws-sdk-go-v2/service/ssm","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/rds","github.com/aws/aws-sdk-go-v2/service/rds","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/lambda","github.com/aws/aws-sdk-go-v2/service/lambda","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2","github.com/aws/aws-sdk-go-v2","['Apache-2.0']","['Stripe, Inc.', 'The Go Authors', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/internal/configsources","github.com/aws/aws-sdk-go-v2/internal/configsources","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/internal/endpoints/v2","github.com/aws/aws-sdk-go-v2/internal/endpoints/v2","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/cloudtrail","github.com/aws/aws-sdk-go-v2/service/cloudtrail","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/organizations","github.com/aws/aws-sdk-go-v2/service/organizations","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/iam","github.com/aws/aws-sdk-go-v2/service/iam","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/rolesanywhere","github.com/aws/aws-sdk-go-v2/service/rolesanywhere","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/DataDog/datadog-api-client-go","github.com/DataDog/datadog-api-client-go","['Apache-2.0']","['Datadog, Inc.']"
"github.com/DataDog/zstd","github.com/DataDog/zstd","['BSD-3-Clause', 'BSD-2-Clause']","['Datadog']"
"github.com/mattn/go-colorable","github.com/mattn/go-colorable","['MIT']","['Yasuhiro Matsumoto']"
"github.com/josharian/intern","github.com/josharian/intern","['MIT']","['Josh Bleecher Snyder']"
"github.com/go-logr/stdr","github.com/go-logr/stdr","['Apache-2.0']","['go-logr']"
"github.com/golang/groupcache","github.com/golang/groupcache","['Apache-2.0']","['golang']"
"github.com/mattn/go-runewidth","github.com/mattn/go-runewidth","['MIT']","['Yasuhiro Matsumoto']"
"github.com/pmezard/go-difflib","github.com/pmezard/go-difflib","['BSD-3-Clause']","['Patrick Mezard']"
"github.com/rivo/uniseg","github.com/rivo/uniseg","['MIT']","['Oliver Kuederle']"
"github.com/cenkalti/backoff/v4","github.com/cenkalti/backoff/v4","['MIT']","['Cenk Alti']"
"github.com/PuerkitoBio/purell","github.com/PuerkitoBio/purell","['BSD-3-Clause']","['Martin Angers, Yuki Okushi & Contributors', 'The Go Authors']"
"github.com/PuerkitoBio/urlesc","github.com/PuerkitoBio/urlesc","['BSD-3-Clause']","['The Go Authors']"
"github.com/go-openapi/jsonpointer","github.com/go-openapi/jsonpointer","['Apache-2.0']","['go-openapi']"
"github.com/mailru/easyjson","github.com/mailru/easyjson","['MIT']","['Mail.Ru Group']"
"github.com/munnerz/goautoneg","github.com/munnerz/goautoneg","['BSD-3-Clause']","['Open Knowledge Foundation Ltd.']"
"github.com/mattn/go-isatty","github.com/mattn/go-isatty","['MIT']","['Yasuhiro MATSUMOTO']"
"github.com/google/gnostic","github.com/google/gnostic","['Apache-2.0']","['google']"
"github.com/fatih/color","github.com/fatih/color","['MIT']","['Fatih Arslan']"
"github.com/cjlapao/common-go","github.com/cjlapao/common-go","['MIT']","['Carlos Lapao']"
"github.com/microsoft/kiota-serialization-form-go","github.com/microsoft/kiota-serialization-form-go","['MIT']","['Microsoft Corporation']"
"github.com/microsoft/kiota-serialization-multipart-go","github.com/microsoft/kiota-serialization-multipart-go","['MIT']","['Microsoft Corporation']"
"github.com/microsoft/kiota-serialization-text-go","github.com/microsoft/kiota-serialization-text-go","['MIT']","['Microsoft Corporation']"
"github.com/inconshreveable/mousetrap","github.com/inconshreveable/mousetrap","['Apache-2.0']","['Alan Shreve']"
"go.opencensus.io","go.opencensus.io","[]","[]"
"github.com/spf13/cobra","github.com/spf13/cobra","['Apache-2.0']","['spf13']"
"github.com/go-openapi/jsonreference","github.com/go-openapi/jsonreference","['Apache-2.0']","['go-openapi']"
"github.com/go-openapi/swag","github.com/go-openapi/swag","['Apache-2.0']","['go-openapi']"
"github.com/emicklei/go-restful/v3","github.com/emicklei/go-restful/v3","['MIT']","['Ernest Micklei']"
"github.com/Microsoft/go-winio","github.com/Microsoft/go-winio","['MIT']","['Microsoft']"
"google.golang.org/grpc","google.golang.org/grpc","[]","[]"
"github.com/googleapis/enterprise-certificate-proxy","github.com/googleapis/enterprise-certificate-proxy","['Apache-2.0']","['googleapis']"
"google.golang.org/genproto","google.golang.org/genproto","[]","[]"
"cloud.google.com/go/compute","cloud.google.com/go/compute","[]","[]"
"github.com/googleapis/gax-go/v2","github.com/googleapis/gax-go/v2","['BSD-3-Clause']","['Google Inc.']"
